Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.no.nlk-test.json	2544	-	0	0	0	0	0	0	10	311	0	0	0	0	0	0	0	0	0	0	80	81	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-norsk-laboratoriekodeverk-medical-genetics.json	90195	53	0	0	1	0	0	0	22	102	0	0	0	0	0	0	0	2	0	0	221	793	0	0	0	17	0	1
fsh-generated/resources/CodeSystem-norsk-laboratoriekodeverk.json	933269	268	0	0	13	0	0	0	103	1846	0	0	6	0	0	0	0	9	0	0	3160	4560	0	0	0	262	0	6
